Speaker Label,Gender,Word,Vowel Phoneme,Class Number,Formant 1,Formant 2,Formant 3
rws001,M,heed,IY,1,297,2351,3459
rws001,M,had,AE,2,649,1540,2432
rws001,M,who'd,UW,3,243,1162,2324
rkm001,M,heed,IY,1,162,2108,3405
rkm001,M,had,AE,2,622,1324,2324
rkm001,M,who'd,UW,3,135,1216,2000
mjc001,M,heed,IY,1,216,2459,3026
mjc001,M,had,AE,2,865,1540,2621
mjc001,M,who'd,UW,3,297,1838,2378
mga001,M,heed,IY,1,162,2567,3378
mga001,M,had,AE,2,838,1459,2108
mga001,M,who'd,UW,3,189,1540,2297
kmp001,M,heed,IY,1,216,2243,3115
kmp001,M,had,AE,2,811,1567,2135
kmp001,M,who'd,UW,3,162,946,2108
wjh001,F,heed,IY,1,216,2594,3270
wjh001,F,had,AE,2,838,1594,2810
wjh001,F,who'd,UW,3,432,1621,2513
sce001,F,heed,IY,1,210,2540,3405
sce001,F,had,AE,2,784,1513,2837
sce001,F,who'd,UW,3,324,2054,2459
njb001,F,heed,IY,1,243,2702,3891
njb001,F,had,AE,2,892,1587,2648
njb001,F,who'd,UW,3,513,2189,3675
mjo001,F,heed,IY,1,297,2135,3053
mjo001,F,had,AE,2,1081,1786,3026
mjo001,F,who'd,UW,3,486,1756,2756
gke001,F,heed,IY,1,290,2594,3243
gke001,F,had,AE,2,919,1702,2810
gke001,F,who'd,UW,3,486,2189,3945
mtd001,M,heed,IY,1,162,2297,2972
mtd001,M,had,AE,2,757,1351,2567
mtd001,M,who'd,UW,3,297,2243,3297
jas001,M,heed,IY,1,216,2675,3378
jas001,M,had,AE,2,730,2324,3270
jas001,M,who'd,UW,3,243,1108,3162
ipd001,M,heed,IY,1,189,2459,4080
ipd001,M,had,AE,2,811,1459,3702
ipd001,M,who'd,UW,3,216,2351,3270
gwd001,M,heed,IY,1,270,2378,3783
gwd001,M,had,AE,2,649,1360,3837
gwd001,M,who'd,UW,3,243,2270,3820
djd001,M,heed,IY,1,297,2379,3459
djd001,M,had,AE,2,757,1513,3567
djd001,M,who'd,UW,3,324,2378,3297
tot001,F,heed,IY,1,240,2837,3324
tot001,F,had,AE,2,838,1621,2850
tot001,F,who'd,UW,3,405,1567,2918
taq001,F,heed,IY,1,200,2648,3378
taq001,F,had,AE,2,784,1675,3972
taq001,F,who'd,UW,3,440,1486,3243
cmd001,F,heed,IY,1,215,2145,3289
cmd001,F,had,AE,2,973,1729,2999
cmd001,F,who'd,UW,3,486,1189,2594
cas001,F,heed,IY,1,210,2594,3351
cas001,F,had,AE,2,811,1892,2972
cas001,F,who'd,UW,3,459,1675,2648
axm001,F,heed,IY,1,215,2702,3945
axm001,F,had,AE,2,703,1756,3378
axm001,F,who'd,UW,3,405,1838,3864
wxt001,M,heed,IY,1,290,2189,3349
wxt001,M,had,AE,2,784,2368,3513
wxt001,M,who'd,UW,3,324,2243,3053
lwe001,M,heed,IY,1,220,2340,3523
lwe001,M,had,AE,2,622,1567,3567
lwe001,M,who'd,UW,3,250,2030,3435
ixr001,M,heed,IY,1,270,2432,3810
ixr001,M,had,AE,2,730,1540,2729
ixr001,M,who'd,UW,3,290,2810,3567
exj001,M,heed,IY,1,135,2432,3702
exj001,M,had,AE,2,676,1838,3675
exj001,M,who'd,UW,3,297,2530,3378
cpr001,M,heed,IY,1,243,2378,3513
cpr001,M,had,AE,2,838,2486,3270
cpr001,M,who'd,UW,3,250,2297,3216
sxt001,F,heed,IY,1,240,2810,3351
sxt001,F,had,AE,2,919,1919,3081
sxt001,F,who'd,UW,3,486,1475,2756
oxp001,F,heed,IY,1,216,2810,3297
oxp001,F,had,AE,2,757,1648,2675
oxp001,F,who'd,UW,3,432,2918,3891
lxp001,F,heed,IY,1,270,2702,3918
lxp001,F,had,AE,2,649,1432,3891
lxp001,F,who'd,UW,3,486,2945,3890
lej001,F,heed,IY,1,230,2756,3378
lej001,F,had,AE,2,973,1594,3053
lej001,F,who'd,UW,3,459,2864,3540
bej001,F,heed,IY,1,260,2837,3297
